name,index,site,url,warm_time,temperature
cores2,13,yahoo,http___search.yahoo.com_search;_ylt_?p_google,774,45.000000
cores2,14,yahoo,http___search.yahoo.com_search;_ylt_?p_google,701,46.000000
cores2,15,yahoo,http___search.yahoo.com_search;_ylt_?p_google,776,46.000000
cores2,16,yahoo,http___search.yahoo.com_search;_ylt_?p_google,775,45.000000
cores2,17,yahoo,http___search.yahoo.com_search;_ylt_?p_google,770,46.000000
cores2,18,yahoo,http___search.yahoo.com_search;_ylt_?p_google,906,46.000000
cores2,19,yahoo,http___search.yahoo.com_search;_ylt_?p_google,699,46.000000
cores2,20,yahoo,http___search.yahoo.com_search;_ylt_?p_google,763,48.000000
cores2,21,yahoo,http___search.yahoo.com_search;_ylt_?p_google,784,46.000000
cores2,22,yahoo,http___search.yahoo.com_search;_ylt_?p_google,868,48.000000
cores2,23,yahoo,http___search.yahoo.com_search;_ylt_?p_google,712,46.000000
cores2,24,yahoo,http___search.yahoo.com_search;_ylt_?p_google,703,46.000000
cores2,25,yahoo,http___search.yahoo.com_search;_ylt_?p_google,729,48.000000
cores2,26,yahoo,http___search.yahoo.com_search;_ylt_?p_google,786,48.000000
cores2,27,yahoo,http___search.yahoo.com_search;_ylt_?p_google,709,48.000000
cores2,28,yahoo,http___search.yahoo.com_search;_ylt_?p_google,787,48.000000
cores2,0,google,https___www.google.com__hl_en_q_science,2070,37.000000
cores2,1,google,https___www.google.com__hl_en_q_science,1990,39.000000
cores2,2,google,https___www.google.com__hl_en_q_science,1959,41.000000
cores2,3,google,https___www.google.com__hl_en_q_science,1966,41.000000
cores2,4,google,https___www.google.com__hl_en_q_science,2071,43.000000
cores2,5,google,https___www.google.com__hl_en_q_science,1988,43.000000
cores2,6,google,https___www.google.com__hl_en_q_science,1939,43.000000
cores2,7,google,https___www.google.com__hl_en_q_science,2023,44.000000
cores2,8,google,https___www.google.com__hl_en_q_science,1991,44.000000
cores2,9,google,https___www.google.com__hl_en_q_science,1979,44.000000
cores2,10,google,https___www.google.com__hl_en_q_science,2008,44.000000
cores2,11,google,https___www.google.com__hl_en_q_science,1978,45.000000
cores2,12,google,https___www.google.com__hl_en_q_science,2048,45.000000
cores2,13,google,https___www.google.com__hl_en_q_science,1941,46.000000
cores2,14,google,https___www.google.com__hl_en_q_science,2037,46.000000
cores2,15,google,https___www.google.com__hl_en_q_science,2021,45.000000
cores2,16,google,https___www.google.com__hl_en_q_science,1990,46.000000
cores2,17,google,https___www.google.com__hl_en_q_science,2016,46.000000
cores2,18,google,https___www.google.com__hl_en_q_science,2007,46.000000
cores2,19,google,https___www.google.com__hl_en_q_science,2046,46.000000
cores2,20,google,https___www.google.com__hl_en_q_science,2036,48.000000
cores2,21,google,https___www.google.com__hl_en_q_science,1942,46.000000
cores2,22,google,https___www.google.com__hl_en_q_science,1971,48.000000
cores2,23,google,https___www.google.com__hl_en_q_science,2001,46.000000
cores2,24,google,https___www.google.com__hl_en_q_science,1968,48.000000
cores2,25,google,https___www.google.com__hl_en_q_science,2071,48.000000
cores2,26,google,https___www.google.com__hl_en_q_science,1946,48.000000
cores2,27,google,https___www.google.com__hl_en_q_science,1944,48.000000
cores2,28,google,https___www.google.com__hl_en_q_science,2037,48.000000
cores2,0,wikipedia,http___en.m.wikipedia.org_wiki_Science,2793,38.000000
cores2,1,wikipedia,http___en.m.wikipedia.org_wiki_Science,2747,41.000000
cores2,2,wikipedia,http___en.m.wikipedia.org_wiki_Science,2712,41.000000
cores2,3,wikipedia,http___en.m.wikipedia.org_wiki_Science,2713,42.000000
cores2,4,wikipedia,http___en.m.wikipedia.org_wiki_Science,2827,42.000000
cores2,5,wikipedia,http___en.m.wikipedia.org_wiki_Science,2676,43.000000
cores2,6,wikipedia,http___en.m.wikipedia.org_wiki_Science,2798,44.000000
cores2,7,wikipedia,http___en.m.wikipedia.org_wiki_Science,2791,43.000000
cores2,8,wikipedia,http___en.m.wikipedia.org_wiki_Science,2810,45.000000
cores2,9,wikipedia,http___en.m.wikipedia.org_wiki_Science,2837,45.000000
cores2,10,wikipedia,http___en.m.wikipedia.org_wiki_Science,2890,45.000000
cores2,11,wikipedia,http___en.m.wikipedia.org_wiki_Science,2618,45.000000
cores2,12,wikipedia,http___en.m.wikipedia.org_wiki_Science,2755,46.000000
cores2,13,wikipedia,http___en.m.wikipedia.org_wiki_Science,2748,46.000000
cores2,14,wikipedia,http___en.m.wikipedia.org_wiki_Science,2623,46.000000
cores2,15,wikipedia,http___en.m.wikipedia.org_wiki_Science,2764,45.000000
cores2,16,wikipedia,http___en.m.wikipedia.org_wiki_Science,2744,46.000000
cores2,17,wikipedia,http___en.m.wikipedia.org_wiki_Science,2685,46.000000
cores2,18,wikipedia,http___en.m.wikipedia.org_wiki_Science,2722,46.000000
cores2,19,wikipedia,http___en.m.wikipedia.org_wiki_Science,2752,48.000000
cores2,20,wikipedia,http___en.m.wikipedia.org_wiki_Science,2910,48.000000
cores2,21,wikipedia,http___en.m.wikipedia.org_wiki_Science,2776,48.000000
cores2,22,wikipedia,http___en.m.wikipedia.org_wiki_Science,2748,46.000000
cores2,23,wikipedia,http___en.m.wikipedia.org_wiki_Science,2687,48.000000
cores2,24,wikipedia,http___en.m.wikipedia.org_wiki_Science,2721,48.000000
cores2,25,wikipedia,http___en.m.wikipedia.org_wiki_Science,2779,48.000000
cores2,26,wikipedia,http___en.m.wikipedia.org_wiki_Science,2814,48.000000
cores2,27,wikipedia,http___en.m.wikipedia.org_wiki_Science,2846,46.000000
cores2,28,wikipedia,http___en.m.wikipedia.org_wiki_Science,2691,48.000000
cores2,0,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,866,39.000000
cores2,1,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,841,39.000000
cores2,2,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,855,41.000000
cores2,3,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,839,42.000000
cores2,4,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,811,42.000000
cores2,5,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,833,43.000000
cores2,6,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,846,43.000000
cores2,7,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,867,44.000000
cores2,8,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,809,44.000000
cores2,9,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,860,44.000000
cores2,10,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,850,44.000000
cores2,11,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,842,45.000000
cores2,12,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,818,46.000000
cores2,13,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,809,46.000000
cores2,14,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,835,46.000000
cores2,15,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,875,46.000000
cores2,16,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,858,46.000000
cores2,17,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,848,46.000000
cores2,18,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,811,46.000000
cores2,19,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,830,46.000000
cores2,20,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,820,48.000000
cores2,21,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,846,46.000000
cores2,22,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,847,46.000000
cores2,23,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,839,48.000000
cores2,24,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,832,48.000000
cores2,25,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,842,46.000000
cores2,26,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,830,46.000000
cores2,27,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,821,48.000000
cores2,28,twitter,https___mobile.twitter.com_justinbieber?skip_interstitial_true,835,48.000000
original,0,facebook,https___m.facebook.com_rihanna,1132,39.000000
original,1,facebook,https___m.facebook.com_rihanna,1119,41.000000
original,2,facebook,https___m.facebook.com_rihanna,1238,42.000000
original,3,facebook,https___m.facebook.com_rihanna,1167,43.000000
original,4,facebook,https___m.facebook.com_rihanna,1132,43.000000
original,5,facebook,https___m.facebook.com_rihanna,1181,43.000000
original,6,facebook,https___m.facebook.com_rihanna,1234,44.000000
original,7,facebook,https___m.facebook.com_rihanna,1166,45.000000
original,8,facebook,https___m.facebook.com_rihanna,1146,45.000000
original,9,facebook,https___m.facebook.com_rihanna,1189,45.000000
original,10,facebook,https___m.facebook.com_rihanna,1134,45.000000
original,11,facebook,https___m.facebook.com_rihanna,1153,45.000000
original,12,facebook,https___m.facebook.com_rihanna,1211,45.000000
original,13,facebook,https___m.facebook.com_rihanna,1134,46.000000
original,14,facebook,https___m.facebook.com_rihanna,1120,46.000000
original,15,facebook,https___m.facebook.com_rihanna,1201,46.000000
original,16,facebook,https___m.facebook.com_rihanna,1123,48.000000
original,17,facebook,https___m.facebook.com_rihanna,1256,48.000000
original,18,facebook,https___m.facebook.com_rihanna,1148,48.000000
original,19,facebook,https___m.facebook.com_rihanna,1201,48.000000
original,20,facebook,https___m.facebook.com_rihanna,1166,48.000000
original,21,facebook,https___m.facebook.com_rihanna,1152,49.000000
original,22,facebook,https___m.facebook.com_rihanna,1141,48.000000
original,23,facebook,https___m.facebook.com_rihanna,1192,49.000000
original,24,facebook,https___m.facebook.com_rihanna,1196,49.000000
original,25,facebook,https___m.facebook.com_rihanna,1146,49.000000
original,26,facebook,https___m.facebook.com_rihanna,1180,49.000000
original,27,facebook,https___m.facebook.com_rihanna,1192,49.000000
original,28,facebook,https___m.facebook.com_rihanna,1170,49.000000
original,0,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,751,39.000000
original,1,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,561,41.000000
original,2,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,569,41.000000
original,3,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,507,42.000000
original,4,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,676,43.000000
original,5,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,631,43.000000
original,6,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,642,44.000000
original,7,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,544,44.000000
original,8,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,614,45.000000
original,9,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,647,45.000000
original,10,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,691,45.000000
original,11,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,620,45.000000
original,12,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,668,46.000000
original,13,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,531,46.000000
original,14,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,590,46.000000
original,15,amazon,http___www.amazon.com_gp_aw_s_?k_nexus,544,46.000000
